well_name,center_x,center_y,radius,total_pixels
well1,120,140,86,23215
well2,342,140,86,23215
well3,564,144,86,23215
well4,232,284,86,23215
well5,456,284,86,23215
well6,122,426,86,23215
well7,344,428,86,23215
well8,566,428,86,23215
